studio,bom_domestic_gross,bom_foreign_gross,title_clean,release_date_x,tn_production_budget,profit,roi,runtime_minutes,genres,averagerating,numvotes,genre_ids,original_language,popularity,vote_average,vote_count,release_year,roi_abs,bom_worldwide_gross
Sgem,57700000.0,11300000.0,Takers,2010-08-27,32000000.0,38587268.0,1.205852125,107.0,"['Action', 'Crime', 'Thriller']",6.2,53377,"[28, 80, 18, 53]",En,8.969,6.2,605.0,2010,1.205852125,69000000.0
Focus,35600000.0,32299999.0,The American,2010-09-01,20000000.0,47950723.0,2.39753615,105.0,"['Crime', 'Drama', 'Thriller']",6.3,86863,"[80, 18, 53]",En,9.042,5.8,690.0,2010,2.39753615,67899999.0
Lgf,41000000.0,26700000.0,The Last Exorcism,2010-08-27,1800000.0,68365900.0,37.98105555555556,87.0,"['Drama', 'Horror', 'Thriller']",5.6,45815,"[27, 18, 53]",En,9.35,5.6,519.0,2010,37.98105555555556,67700000.0
Lgf,21100000.0,46300000.0,The Next Three Days,2010-11-19,30000000.0,37255916.0,1.2418638666666666,133.0,"['Action', 'Crime', 'Drama']",7.4,168066,"[10749, 18, 53, 80]",En,11.147,7.0,1469.0,2010,1.2418638666666666,67400000.0
Uni.,21400000.0,45400000.0,Skyline,2010-11-12,10000000.0,58264973.0,5.8264973,92.0,"['Action', 'Sci-Fi', 'Thriller']",4.4,83710,"[878, 28]",En,8.847,4.8,833.0,2010,5.8264973,66800000.0
Mgm,50300000.0,14300000.0,Hot Tub Time Machine,2010-03-26,36000000.0,29967750.0,0.8324375,101.0,"['Comedy', 'Sci-Fi']",6.4,153962,"[878, 35, 12]",En,10.15,6.0,1383.0,2010,0.8324375,64600000.0
Uni.,33600000.0,29100000.0,Devil,2010-09-17,10000000.0,53354114.0,5.3354114,80.0,"['Horror', 'Mystery', 'Thriller']",6.2,122080,"[27, 9648, 53]",En,10.203,5.9,1516.0,2010,5.3354114,62700000.0
Foxs,18300000.0,42400000.0,127 Hours,2010-11-05,18000000.0,42217171.0,2.345398388888889,94.0,"['Adventure', 'Biography', 'Drama']",7.6,323949,"[12, 18, 53]",En,11.435,7.0,4469.0,2010,2.345398388888889,60700000.0
Bv,59700000.0,537000.0,Secretariat,2010-10-08,35000000.0,25376247.0,0.7250356285714286,123.0,"['Biography', 'Drama', 'Family']",7.2,24536,[18],En,9.059,7.0,200.0,2010,0.7250356285714286,60237000.0
Sum.,15500000.0,44700000.0,The Ghost Writer,2010-02-19,45000000.0,20532491.0,0.4562775777777778,128.0,"['Drama', 'Mystery', 'Thriller']",7.2,148274,"[53, 9648]",En,7.829,6.8,1135.0,2010,0.4562775777777778,60200000.0
Par.,31000000.0,29000000.0,Morning Glory,2010-11-10,40000000.0,19795070.0,0.49487675,107.0,"['Comedy', 'Drama', 'Romance']",6.5,67367,"[35, 18, 10749]",En,10.595,6.3,717.0,2010,0.49487675,60000000.0
Sum.,19100000.0,37000000.0,Remember Me,2010-03-12,16000000.0,40506120.0,2.5316325,113.0,"['Drama', 'Romance']",7.1,129443,"[18, 10749]",En,11.453,7.1,2079.0,2010,2.5316325,56100000.0
